path,crs,width,height,count,dtype,bounds,transform,category,feature_count,geom_types
data/dem/ernakulam_dem.tif,EPSG:4326,908.0,635.0,1.0,int16,"BoundingBox(left=76.1625, bottom=9.774166666666666, right=76.91916666666665, top=10.303333333333333)","(0.0008333333333333334, 0.0, 76.1625, 0.0, -0.0008333333333333334, 10.303333333333333, 0.0, 0.0, 1.0)",DEM,,
data/sentinel/B08.tif,EPSG:32643,8242.0,4917.0,1.0,uint16,"BoundingBox(left=627380.0, bottom=1090200.0, right=709800.0, top=1139370.0)","(10.0, 0.0, 627380.0, 0.0, -10.0, 1139370.0, 0.0, 0.0, 1.0)",Sentinel,,
data/sentinel/B04.tif,EPSG:32643,8242.0,4917.0,1.0,uint16,"BoundingBox(left=627380.0, bottom=1090200.0, right=709800.0, top=1139370.0)","(10.0, 0.0, 627380.0, 0.0, -10.0, 1139370.0, 0.0, 0.0, 1.0)",Sentinel,,
data/hazards/hazard_pdf_class.shp,EPSG:4326,,,,,,,HazardVector,29154.0,Polygon
